0; 0; 0; 
0,1; 0,0640747; 1,22106; 
0,2; 0,229469; 2,00862; 
0,3; 0,449414; 2,3138; 
0,4; 0,678083; 2,20116; 
0,5; 0,880236; 1,80843; 
0,6; 0,99127; 0,222696; 
0,7; 0,934961; -1,28881; 
0,8; 0,74741; -2,38583; 
0,9; 0,475009; -2,9713; 
1; 0,172412; -2,98819; 
1,1; -0,105165; -2,49082; 
1,2; -0,314208; -1,6519; 
1,3; -0,431427; -0,688876; 
1,4; -0,454214; 0,210367; 
1,5; -0,396027; 0,913332; 
1,6; -0,280887; 1,34063; 
1,7; -0,138167; 1,46491; 
1,8; 0,00274976; 1,31329; 
1,9; 0,117667; 0,959802; 
2; 0,191259; 0,503603; 
2,1; 0,218282; 0,043387; 
2,2; 0,202531; -0,340913; 
2,3; 0,154451; -0,597113; 
2,4; 0,088182; -0,703675; 
2,5; 0,0185199; -0,668394; 
2,6; -0,0417638; -0,522693; 
2,7; -0,0838316; -0,312067; 
2,8; -0,10364; -0,0851879; 
2,9; -0,101771; 0,115429; 
3; -0,082474; 0,259627; 
3,1; -0,0522671; 0,332458; 
3,2; -0,018396; 0,334046; 
3,3; 0,0125574; 0,276952; 
3,4; 0,0357098; 0,181777; 
3,5; 0,048427; 0,0720707; 
3,6; 0,0503766; -0,0303572; 
3,7; 0,0431682; -0,108934; 
3,8; 0,0297192; -0,15425; 
3,9; 0,0135101; -0,1644; 
4; -0,00212591; -0,143968; 
4,1; -0,0145586; -0,102064; 
4,2; -0,0221943; -0,0499034; 
4,3; -0,0245668; 0,00153521; 
4,4; -0,0222144; 0,0433903; 
4,5; -0,0164041; 0,0700805; 
4,6; -0,0087777; 0,079685; 
4,7; -0,000997624; 0,0736174; 
4,8; 0,00554798; 0,0557763; 
4,9; 0,00993814; 0,0314135; 
5; 0,0117956; 0,00597008; 
5,1; 0,0112542; -0,0159096; 
5,2; 0,00884302; -0,0310453; 
5,3; 0,00532227; -0,0380119; 
5,4; 0,00150849; -0,0370704; 
5,5; -0,00187842; -0,0298175; 
5,6; -0,00432353; -0,0186643; 
5,7; -0,00556987; -0,00626732; 
5,8; -0,00561659; 0,0049805; 
5,9; -0,00467277; 0,0133206; 
6; -0,00308281; 0,0178212; 
6,1; -0,00124174; 0,0183907; 
6,2; 0,000483052; 0,0156413; 
6,3; 0,00181103; 0,0106549; 
6,4; 0,00258186; 0,00470844; 
6,5; 0,00276165; -0,00098447; 
6,6; 0,00242599; -0,0054743; 
6,7; 0,00172692; -0,00819385; 
6,8; 0,000852488; -0,00898818; 
6,9; -1,2654e-05; -0,00806704; 
7; -0,000718913; -0,00590215; 
7,1; -0,00117157; -0,00309728; 
7,2; -0,0013374; -0,000258783; 
7,3; -0,00123935; 0,00211094; 
7,4; -0,000942345; 0,00368241; 
7,5; -0,000534355; 0,00432542; 
7,6; -0,000106815; 0,00409566; 
7,7; 0,000261979; 0,00319137; 
7,8; 0,000518179; 0,00189281; 
7,9; 0,000637377; 0,000498438; 
8; 0,00062354; -0,000730575; 
8,1; 0,000503181; -0,00160928; 
8,2; 0,000316634; -0,00204747; 
8,3; 0,000108504; -0,00204829; 
8,4; -8,09074e-05; -0,00169082; 
8,5; -0,000221871; -0,00110243; 
8,6; -0,000298512; -0,000427827; 
8,7; -0,000309078; 0,000199417; 
8,8; -0,000263686; 0,000678202; 
8,9; -0,000180408; 0,000951697; 
9; -8,06657e-05; 0,00100925; 
9,1; 1,51189e-05; 0,000879916; 
9,2; 9,09141e-05; 0,000620143; 
9,3; 0,000137087; 0,000298977; 
9,4; 0,000150927; -1,63057e-05; 
9,5; 0,000135871; -0,000271642; 
9,6; 9,97841e-05; -0,000433241; 
9,7; 5,27842e-05; -0,000489822; 
9,8; 5,06607e-06; -0,000450508; 
9,9; -3,48965e-05; -0,000339541; 
10; -6,15204e-05; -0,000189298; 
